title,author,average_rating,ratings,score
To Kill a Mockingbird,Harper Lee,4.27,5006936,2358719
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,7994239,1820010
Pride and Prejudice,Jane Austen,4.27,3392533,1451577
The Diary of a Young Girl,Anne Frank,4.16,3085315,1379516
Animal Farm,George Orwell,3.97,3092171,1032727
1984,George Orwell,4.19,3593341,1032590
The Little Prince,Antoine de Saint-Exupéry,4.31,1607108,974455
The Great Gatsby,F. Scott Fitzgerald,3.93,4200958,907550
The Catcher in the Rye,J.D. Salinger,3.81,2987093,859171
The Lord of the Rings,J.R.R. Tolkien,4.5,608656,798412
The Book Thief,Markus Zusak,4.38,2064047,777077
Jane Eyre,Charlotte Brontë,4.13,1780311,764342
"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,4.25,573165,717545
Lord of the Flies,William Golding,3.69,2477391,699296
Romeo and Juliet,William Shakespeare,3.75,2227302,695118
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.61,3108673,681602
The Kite Runner,Khaled Hosseini,4.31,2657123,663269
"The Giver (The Giver, #1)",Lois Lowry,4.13,2002972,641211
The Giving Tree,Shel Silverstein,4.37,986049,630868
Charlotte's Web,E.B. White,4.18,1563303,578745
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.32,7032775,556570
Little Women,Louisa May Alcott,4.11,1848163,554568
"The Hobbit, or There and Back Again",J.R.R. Tolkien,4.28,3206949,545061
Of Mice and Men,John Steinbeck,3.88,2122797,540441
Green Eggs and Ham,Dr. Seuss,4.29,681562,531401
Fahrenheit 451,Ray Bradbury,3.98,1911005,527079
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.57,3219765,521921
Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06,499410,511065
Wuthering Heights,Emily Brontë,3.87,1485696,509005
"Night  (The Night Trilogy, #1)",Elie Wiesel,4.34,1060240,484674
The Picture of Dorian Gray,Oscar Wilde,4.1,1117898,483165
Gone with the Wind,Margaret Mitchell,4.3,1133971,483006
The Holy Bible: King James Version,Anonymous,4.4,242350,472133
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.56,2904306,471682
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.22,1584582,456069
Hamlet,William Shakespeare,4.03,798406,441495
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.57,2711957,436665
The Adventures of Huckleberry Finn,Mark Twain,3.82,1198718,436358
Tolkien On Fairy-stories,J.R.R. Tolkien,4.31,3178,435022
Les Misérables,Victor Hugo,4.18,726021,407706
Brave New World / Brave New World Revisited,Aldous Huxley,4.17,149820,402531
The Alchemist,Paulo Coelho,3.89,2390638,396089
Crime and Punishment,Fyodor Dostoevsky,4.23,711479,381259
The Help,Kathryn Stockett,4.46,2358527,365941
The Secret Garden,Frances Hodgson Burnett,4.13,993643,364855
Memoirs of a Geisha,Arthur Golden,4.13,1818968,363325
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.22,2347643,357738
The Odyssey,Homer,3.78,927232,344480
A Christmas Carol,Charles Dickens,4.06,669689,343397
"The Cat in the Hat (The Cat in the Hat, #1)",Dr. Seuss,4.16,478695,338080
The Outsiders,S.E. Hinton,4.1,1060627,315886
The Color Purple,Alice Walker,4.24,573541,313592
One Hundred Years of Solitude,Gabriel García Márquez,4.09,824529,309951
The Grapes of Wrath,John Steinbeck,3.98,805716,307920
A Thousand Splendid Suns,Khaled Hosseini,4.39,1271780,305603
Where the Sidewalk Ends,Shel Silverstein,4.3,1253269,301649
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.26,819527,301167
"Ender's Game (Ender's Saga, #1)",Orson Scott Card,4.3,1226661,297427
Where the Wild Things Are,Maurice Sendak,4.22,891451,296902
The Count of Monte Cristo,Alexandre Dumas,4.26,804213,292061
The Adventures of Tom Sawyer,Mark Twain,3.92,821186,290613
A Tale of Two Cities,Charles Dickens,3.86,859365,288764
Life of Pi,Yann Martel,3.92,1440691,287417
"Oh, the Places You'll Go!",Dr. Seuss,4.33,361859,272916
Anna Karenina,Leo Tolstoy,4.06,728139,272637
"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.12,1653525,269593
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.83,1287548,268397
Tuesdays with Morrie,Mitch Albom,4.12,856051,262780
"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,4.31,298516,261312
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.37,2517528,260326
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.08,1215253,258507
Catch-22,Joseph Heller,3.98,766440,255620
The Old Man and the Sea,Ernest Hemingway,3.79,929679,254892
The Scarlet Letter,Nathaniel Hawthorne,3.42,758331,241016
Macbeth,William Shakespeare,3.9,742795,229262
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.62,5472173,218710
One Flew Over the Cuckoo's Nest,Ken Kesey,4.19,673716,215262
Lolita,Vladimir Nabokov,3.88,721659,210384
The Time Traveler's Wife,Audrey Niffenegger,3.98,1660066,208420
Siddhartha,Hermann Hesse,4.04,644884,206625
The Metamorphosis,Franz Kafka,3.83,745345,206559
The Stranger,Albert Camus,3.99,808507,201907
Flowers for Algernon,Daniel Keyes,4.16,535561,199955
Goodnight Moon,Margaret Wise Brown,4.28,333008,187918
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,3085635,178627
A Tree Grows in Brooklyn,Betty  Smith,4.28,413587,176768
War and Peace,Leo Tolstoy,4.13,288789,176698
"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,4.34,147232,174570
A Clockwork Orange,Anthony Burgess,3.99,652683,174530
All Quiet on the Western Front,Erich Maria Remarque,4.0,380145,167525
The Stand,Stephen King,4.33,678201,167339
Don Quixote,Miguel de Cervantes Saavedra,3.88,232544,163476
Uncle Tom's Cabin,Harriet Beecher Stowe,3.88,210788,162825
القرآن الكريم,Anonymous,4.36,61197,158431
Atlas Shrugged,Ayn Rand,3.69,369798,156971
The Brothers Karamazov,Fyodor Dostoevsky,4.32,271101,149253
The Book of Mormon: Another Testament of Jesus Christ,Anonymous,4.29,79433,146243
The Poisonwood Bible,Barbara Kingsolver,4.07,688503,146199
"Moby-Dick or, the Whale",Herman Melville,3.52,504499,143742
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,4.25,458451,142875
"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.88,2090348,131250
Great Expectations,Charles Dickens,3.78,704536,129845
"The Good Earth (House of Earth, #1)",Pearl S. Buck,3.99,233501,128579
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,4.41,287398,128236
Dracula,Bram Stoker,4.0,1044596,122962
1984,George Orwell,4.19,3593341,122816
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L&#39;Engle,3.99,1111048,121518
The Fault in Our Stars,John Green,4.18,4047488,119617
Matilda,Roald Dahl,4.32,750887,117499
The Perks of Being a Wallflower,Stephen Chbosky,4.21,1412382,115385
Brave New World,Aldous Huxley,3.99,1585077,103104
Sense and Sensibility,Jane Austen,4.08,1035267,100567
The Princess Bride,William Goldman,4.25,833494,95242
The Iliad,Homer,3.88,383078,92880
East of Eden,John Steinbeck,4.38,463544,90883
Where the Red Fern Grows,Wilson Rawls,4.08,367984,89122
The Tell-Tale Heart and Other Writings,Edgar Allan Poe,4.18,229142,89033
The Lorax,Dr. Seuss,4.32,311686,87440
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,1303976,87064
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.3,2829062,86379
The Declaration of Independence and The Constitution of the United States,Founding Fathers,4.45,22910,85873
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.44,2165553,84965
"Watership Down (Watership Down, #1)",Richard  Adams,4.06,455641,84926
Man's Search for Meaning,Viktor E. Frankl,4.35,504945,84746
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,4.14,736151,82009
The Last Lecture,Randy Pausch,4.23,327744,81919
The Bell Jar,Sylvia Plath,4.02,678035,80892
Rebecca,Daphne du Maurier,4.23,523426,80319
The Velveteen Rabbit,Margery Williams Bianco,4.26,241965,79759
The Fountainhead,Ayn Rand,3.87,308003,79034
The Lovely Bones,Alice Sebold,3.83,2145345,79016
Alice in Wonderland,Jane Carruth,4.02,389232,78751
And Then There Were None,Agatha Christie,4.26,990005,77606
The Call of the Wild,Jack London,3.88,372811,76036
"Dune (Dune Chronicles, #1)",Frank Herbert,4.24,951828,75943
The Five People You Meet in Heaven,Mitch Albom,3.95,623669,75466
Perfume: The Story of a Murderer,Patrick Süskind,4.02,382358,75387
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.15,2830517,74796
"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,4.54,742774,73545
Animal Farm / 1984,George Orwell,4.3,175807,72502
"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,3.97,409259,71211
"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,4.12,577358,70665
Flowers for Algernon,Daniel Keyes,4.16,535561,68362
Love You Forever,Robert Munsch,4.35,217597,67902
A Prayer for Owen Meany,John Irving,4.23,297327,67305
"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,4.45,793294,66976
A Midsummer Night's Dream,William Shakespeare,3.95,475677,66568
Bridge to Terabithia,Katherine Paterson,4.01,488717,66513
The Divine Comedy,Dante Alighieri,4.04,135161,66253
The Road,Cormac McCarthy,3.97,781437,66230
One Flew Over the Cuckoo's Nest,Ken Kesey,4.19,673716,65240
The Prophet,Kahlil Gibran,4.21,260306,65018
The Name of the Rose,Umberto Eco,4.13,329278,64304
Persuasion,Jane Austen,4.14,572725,64273
"The Three Musketeers (The D'Artagnan Romances, #1)",Alexandre Dumas,4.07,292631,63917
Water for Elephants,Sara Gruen,4.09,1469251,63601
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.0,1381821,62755
The Boy in the Striped Pajamas,John Boyne,4.15,618718,61140
How the Grinch Stole Christmas!,Dr. Seuss,4.34,364913,60133
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,4.32,694056,60019
Jonathan Livingston Seagull,Richard Bach,3.85,221581,59916
Oliver Twist,Charles Dickens,3.87,345908,59605
The Secret Life of Bees,Sue Monk Kidd,4.07,1181344,58733
Blood River: A Journey to Africa's Broken Heart,Tim Butcher,3.86,13335,58442
"The Notebook (The Notebook, #1)",Nicholas Sparks,4.12,1441394,58319
The Master and Margarita,Mikhail Bulgakov,4.28,276209,57492
The Complete Sherlock Holmes,Arthur Conan Doyle,4.46,187531,56738
The Crucible,Arthur  Miller,3.6,353937,56643
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,4.27,531734,56407
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.05,2614003,56216
In Cold Blood,Truman Capote,4.06,587336,55978
The Red Tent,Anita Diamant,4.18,549276,55666
Heart of Darkness,Joseph Conrad,3.44,457308,55577
Love in the Time of Cholera,Gabriel García Márquez,3.92,447527,54678
The Gift of the Magi,O. Henry,4.1,86666,53904
"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",Elizabeth Gilbert,3.59,1584537,53750
The Glass Castle,Jeannette Walls,4.28,1000454,53237
The Unbearable Lightness of Being,Milan Kundera,4.1,379717,52905
On the Road,Jack Kerouac,3.62,374131,52592
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,4.0,521326,52176
The Canterbury Tales,Geoffrey Chaucer,3.52,202979,51608
Fight Club,Chuck Palahniuk,4.18,536873,50805
The Screwtape Letters,C.S. Lewis,4.23,368303,50374
Aesop's Fables,Aesop,4.05,120592,50186
The Art of War,Sun Tzu,3.97,382229,49900
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.6,119301,49451
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,3.83,439422,49364
"The Godfather (The Godfather, #1)",Mario Puzo,4.35,369573,49285
Gulliver's Travels: Travels into Several Remote Nations of the World.,Jonathan Swift,3.58,246956,49026
Walden,Henry David Thoreau,3.77,176878,48735
Sophie's World,Jostein Gaarder,3.94,226015,48560
"Robinson Crusoe (Robinson Crusoe, #1)",Daniel Defoe,3.68,266495,48422
Invisible Man,Ralph Ellison,3.89,166761,48118
The Complete Grimm's Fairy Tales,Jacob Grimm,4.27,153227,47483
The Origin of Species,Charles Darwin,3.98,108592,47444
Emma,Jane Austen,4.02,725926,46862
The Trial,Franz Kafka,3.95,263550,46755
The Prince,Niccolò Machiavelli,3.82,287887,46717
Watchmen,Alan Moore,4.37,511928,45934
The Time Machine,H.G. Wells,3.9,457205,45820
Roots: The Saga of an American Family,Alex Haley,4.42,155233,45729
Candide,Voltaire,3.77,238521,44601
Atonement,Ian McEwan,3.91,472618,42288
Una Historia de Ayer,Sergio Cobo,4.45,23233,42266
Go Ask Alice,Beatrice Sparks,3.75,252787,42196
Beloved,Toni Morrison,3.9,358834,41129
Tuck Everlasting,Natalie Babbitt,3.88,256848,39783
My Sister's Keeper,Jodi Picoult,4.08,1113233,39649
"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,4.11,202084,39455
The Sun Also Rises,Ernest Hemingway,3.81,385972,39429
"Divergent (Divergent, #1)",Veronica Roth,4.17,3263078,38696
Stranger in a Strange Land,Robert A. Heinlein,3.92,290315,38616
زندگی مه آلود پریا,سید مرتضی مصطفوی,3.89,950,38105
Mere Christianity,C.S. Lewis,4.32,337616,37963
The Tale of Peter Rabbit,Beatrix Potter,4.19,224630,37229
The Phantom Tollbooth,Norton Juster,4.16,270980,36862
"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,4.18,457358,36680
Number the Stars,Lois Lowry,4.15,495939,36468
The Boy Who Saw In Colours,Lauren  Robinson,4.33,2953,36379
The Things They Carried,Tim O&#39;Brien,4.13,274768,36167
The Constitution of the United States of America,Founding Fathers,4.53,25925,36092
Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,4.18,81216,35622
James and the Giant Peach,Roald Dahl,4.01,418029,35187
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.27,2290438,35041
"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,4.35,306753,34988
Middlesex,Jeffrey Eugenides,4.01,607855,34881
Schindler's List,Thomas Keneally,4.31,156589,34858
The Complete Maus,Art Spiegelman,4.51,165091,34846
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,3.65,343118,34511
Leaves of Grass,Walt Whitman,4.11,93234,34226
The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson,4.63,116294,34055
Into the Wild,Jon Krakauer,3.99,953310,34030
Their Eyes Were Watching God,Zora Neale Hurston,3.96,292142,33708
The Autobiography of Malcolm X,Malcolm X,4.32,236343,33707
A Little Princess,Frances Hodgson Burnett,4.2,286535,33309
The Addiction Manifesto,Jerry Weaver,4.97,549,32998
"A Child Called &quot;It&quot; (Dave Pelzer, #1)",Dave Pelzer,4.11,401086,32789
Peter Pan,J.M. Barrie,4.02,315180,32640
Speak,Laurie Halse Anderson,4.03,519415,32254
The World According to Garp,John Irving,4.09,212596,32103
The Wind in the Willows,Kenneth Grahame,3.98,193850,32027
The Republic,Plato,3.95,184669,31742
The Secret Magdalene,Ki Longfellow,4.1,4771,31684
A People's History of the United States,Howard Zinn,4.06,217691,31652
The Story of My Life,Helen Keller,4.06,144081,31369
"American Gods (American Gods, #1)",Neil Gaiman,4.1,825722,31296
Looking for Alaska,John Green,4.0,1268869,31203
"Holes (Holes, #1)",Louis Sachar,3.98,1055007,30751
"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,4.12,289127,30734
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.23,612725,30470
A Short History of Nearly Everything,Bill Bryson,4.18,340431,30248
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,3.71,315863,29837
Cat's Cradle,Kurt Vonnegut Jr.,4.16,358752,29641
The Complete Fairy Tales,Hans Christian Andersen,4.28,102004,29495
A Farewell to Arms,Ernest Hemingway,3.81,282059,29305
A Separate Peace,John Knowles,3.59,199778,29228
The Shack,William Paul Young,3.78,581409,29104
A Brief History of Time,Stephen Hawking,4.19,353867,29037
Blindness,José Saramago,4.15,230867,28733
The Raven,Edgar Allan Poe,4.29,113002,28489
Madame Bovary,Gustave Flaubert,3.69,280700,28431
Island of the Blue Dolphins,Scott O&#39;Dell,3.84,314988,28321
The God Delusion,Richard Dawkins,3.89,253702,28206
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,4.27,281730,28005
The Joy Luck Club,Amy Tan,3.94,628282,27635
Flow Down Like Silver: Hypatia of Alexandria,Ki Longfellow,3.78,7420,27283
The Neverending Story,Michael Ende,4.15,184456,27254
Sophie's Choice,William Styron,4.18,85500,27241
Extremely Loud &amp; Incredibly Close,Jonathan Safran Foer,3.96,404823,27118
A Confederacy of Dunces,John Kennedy Toole,3.88,247609,26797
Tess of the D'Urbervilles,Thomas Hardy,3.81,252977,26727
Tao Te Ching,Lao Tzu,4.26,135932,26694
